Pays;score_bonheur;niveau_bonheur;dep_militaires;corruption;mort_5;chomage;PIB_habitant;esp_vie;pollution;internet;tourisme
Portugal;5,2;moyen;1,68;54;3,6;11,07;21490,43;81,12;8,82;73,79;13359000
Azerbaidjan;5,23;moyen;3,82;42;24,6;5;4147,09;72,49;21,41;79;2249000
Grece;5,23;moyen;2,52;50;4,4;23,54;18930,22;81,39;17,74;69,89;28071000
Liban;5,23;moyen;4,51;25;8;6,26;7801,18;78,8;31,23;78,18;1688000
Republique dominicaine;5,23;moyen;0,7;38;30,5;7,28;7609,34;73,47;14,86;67,57;6769000
Maroc;5,24;moyen;3,19;40;24,2;9,3;3036,33;75,97;31,44;61,76;10677000
Montenegro;5,24;moyen;1,36;51;3,1;17,72;7784,09;76,57;22,56;71,27;1662000
Venezuela;5,25;moyen;0,49;15;24,2;7,39;16055;72,41;18,3;64,31;681000
Indonesie;5,26;moyen;0,87;44;26,7;4,3;3837,65;71,04;16,64;32,34;11519000
Chine;5,27;moyen;1,9;21;9,9;4,5;8879,44;76,21;59,06;54,3;141774000
Pakistan;5,27;moyen;3,77;35;73,8;3,78;1464,99;66,77;60,09;17,11;1000000
Croatie;5,29;moyen;1,67;47;4,9;13,1;13451,62;78,02;19,21;67,1;57587000
Jamaique;5,31;moyen;0,97;61;15,2;13,19;5069,18;74,18;14,18;55,07;3837000
Hongrie;5,32;moyen;1,05;77;4,7;5,12;14605,85;76,06;17,23;76,75;52890000
Jordanie;5,34;moyen;4,84;42;17,1;15,28;4234,4;74,18;34,31;66,79;4236000
Serbie;5,4;moyen;1,84;59;6;15,26;6292,54;75,69;26,95;70,33;1281000
Philippines;5,43;moyen;1,31;34;29,3;2,69;3123,23;70,8;19,58;60,05;5967000
Chine, RAS de Hong Kong;5,47;moyen;1,7;42;8;3,39;46165,86;84,23;53;89,42;56655000
Paraguay;5,49;moyen;0,89;34;21,5;5,26;5680,58;73,84;13,04;61,08;4318000
